Epoch	Start	End	Bits	SHA256_hex	Chain_hex
51	104448	106496	2048	43d104889ba68d5deec18e26ab42cb3b3acf9fd4a8c0b86654723def3299be06	8177a3d5684784d41aaef5a58d7bddb6b1d3feb470c948b8d7f5385e112a28c2
52	106496	108544	2048	8f6d2d49d42bb6c7c5bd257c0a8c40c1aba513bf551ca177c19f533b65e8adec	7ea5ebca6a057748531d1a921b9347ca14929f2449aaf8d8898593e67aff2e41
53	108544	110592	2048	55870df43fa4ce8c9ec0ba3715e9f0c85035625ee7bd4e82cfa3056e9d7060ac	a8f4e07d103e11e2e8fa3798b58ea6ac50817b966781125c07a898cf06a97518
54	110592	112640	2048	0728d99d013c524f5e4f229cc99fbc2f36b72275687e40b3e7eebe7e99b072e6	877bd7b6f970a33f4c0fbfaf9e0eab508cc8c2b50e48843ead44a252cbb71078
55	112640	114688	2048	f90edb113951c53bb84b4f869e5040cbd04fba54d888e394617424858be051bc	4d13e7d5440507d98df0aaeab301aba91dbda0848cad29ebecf169b75f9985a8
56	114688	116736	2048	53a7e278202af49b8350ad150d1df9b251354c3f91f97234b93d7a303d0bb9c2	f9f37efe4f484a6605539d14f4001334a7dc2baa274995fd86559ce2f567399e
57	116736	118784	2048	a9c92a5173a796c0ab27bf450a7c5797bcd597a7c338c76027254b63979fa152	729bc850a32824d8ea7bc7bcdbbe5587f67e55766914c77374275b9e4e3af6e1
58	118784	120832	2048	d995ffb9fcefd6fea1ee7fecf001bd114743e7a7e329c121d37eb76fec7c59ca	17a5af61110b438fd06f9df2e5d40786e9841a2a35a5b19c50533e8b57489272
59	120832	122880	2048	a99463192cf5f9dcca21d88233bdddbc3191754afd8bd180460c18ffc01f7f18	cb881eaeee2d13d4634f5393d924cd35aa9e500077e2ae2f3c6daa9fd74b9db3
60	122880	124928	2048	febf1f712426b898993de72030a0b963d2dbfe9ed09ffa22f35e7586e34c63d3	ae4784730aa69df29ebc2d6c20ab2bd83741de02d0c1aecdd2550e157fa5dcfb
61	124928	126976	2048	b582cb23b4ec72d03318cca4cae28eb018bdb35d4ce484d07b954d487bc3d188	52c1825eab33ac48654a5226f8493a4dc01db65082cbe20318600fb3e5ab6268
62	126976	129024	2048	f73f43c5a787ffea600c0faf59c9766737bc67afa2afc5107d86c37342fd4e78	a02c337c1d3d389c92f71281cec89476146ffbf7ca78e2131b6bfdde865b159f
63	129024	131072	2048	b5b72e80c051706112eb27c8c54cdc1be12d0f7aeb37f61c055329226d1f118a	18380384c9188bafbe98aa59c39dc14ba66191d7a3d74878c6e05425d3c0b6f5
64	131072	133120	2048	f4e3c31e4f03040634add66e376c00ce43c13897e7bf2e221b6e61d009fd2d65	a582035d57a8048e9917ae47062d46c7320069def5b50c4bb2316a339bce237b
65	133120	135168	2048	c032c636c705a94e4615a8fddbdb37d0a1888561a4fbd1559bd4a875e50deee3	70b501e8a82b9109321967588b0412b43b60a064542ffc6f08b4cff30d3ee500
66	135168	137216	2048	89c84a2100a38ae6d21b25d3916eda3f4617a121c83cf3945e5f7abea002cb39	d966b2a0d8e3dd06112fefc6bab43d30bd91cccf86512faf54b4e22747a05be6
67	137216	139264	2048	d9c4164bb068cb510ede5f3c0709c430a1270d88ac891944fea1353704c3729c	ec0dd73d080a796d38df05cd1ab6e610b27d684f51614645570ea24d94c11b3f
68	139264	141312	2048	164102f9f5fb2f8283547258f84137dbc6c4c0a2975ecaabeb1ba828a6808029	e0ba869b986a68a8a9ce57f64fbc579dc433881714b85928990b08305b5c568c
69	141312	143360	2048	531811855ab1c10e0d5f41af051fb88e6686cd5750392e662f894ed4b816cd02	2b816d48c83f7c690af2c7e07856a049c4b592980fb8675c38beffceb30c78b0
70	143360	145408	2048	4d3c71e8f5e05193eb38044559a1627836261ef06183fedbbd965c6293de83c5	95a022cc9f9c29e3177a97855b75b49ae92ad7fa20671be49173e8916724dbea
71	145408	147456	2048	50a61aa0c9538387a16091f0c4c97bd11e2cd32227ac73eed7ddc48e4c67e2bc	a8b587c3299a6418b9089e05c91ca4a0b99f3be50786611ac60f100e01b9d580
72	147456	149504	2048	82b9192cf70122ed3cf8a8902e9152891bb5bbfd230cdea848af1a9be5bd8797	f7bffed854dfd58be49c591cec44776aeb7a2d7bcafafc28053d493006cbf779
73	149504	151552	2048	c335fb9b2d898117a6d2b5f2fd0743d71b83cb2ff51f3b04ec247681a047c09a	842e7b8652d348f73663c3145a1cfc88e1cd242f11a233d357dd8daacd3bdb01
74	151552	153600	2048	bf9b3f2874e90ad85b289725e1f81d89be4b3ae648ff2f599aef87f78e94f83b	f59c7dbbef4bbdc4b2a636b7004f82451e2d80fb1f9596decb072d1351c18b45
75	153600	155648	2048	84066d9e07bcff8ac343757d99707df28d86178044ae861eb4c96ffa12d4d0f4	7eb19e81c1fcc4260925761ec8812a8eaa34925d6d96150b01fb70e7d86e1767
76	155648	157696	2048	4c08fb792aabd217a2c4baf201f4921a098ca437d5c3735fc297f206c1b77168	be9bc33242f6a33a0a2f8afbc1c498b45ac334fa8749b983f6df71a0a0b77eae
77	157696	159744	2048	dfae831b93f74a0109e361df594acaaa5d1580207f702cb301fb37a3b3cc72db	a7d62203fb0b023e07c4f700e21888815d7c3e4eb4653cdea8be586c3768895f
78	159744	161792	2048	388100296377d713743355f6863e0157bf5f400d80ed1454400b3d5677cb1183	4a693e34f7cbf080ee809d933746fc2abba3e6c17cbf9c215747cf0fc36fd4a0
79	161792	163840	2048	d02231d2d5e00c8b7220b38d7bd5866cba9cd708e170d41cdb37afeac206f89e	9c6a011cfda36396037122a0c65dd07d03fd485319b0ae3082e4d1accdf43a5f
80	163840	165888	2048	6c07c9d2877aaf7d0b3ebf5cc41298ddb847a1a1580723ad2c97c52afeaad616	0e71176469d8b674127c838a33760dbdf238de9b36cb5163b9f33f5d48f88860
81	165888	167936	2048	84185566e64f92716dfd4bc3a2ae35678cefb88a612fd5a4ee1a16cba10e7a3c	8edaf5f2dcb22438546aa683e044489a029da38ca4b5d885842ba851997e5278
